epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,7625.18,1.00801,0.45668,1.06922,0.96705,0.96386,0.98412,0.72264,1.05147,0.34897,1.09643,0.006931,0.006931,0.006931
33,7866.06,1.00404,0.45482,1.06771,0.96749,0.96436,0.98408,0.72289,1.05149,0.34882,1.09678,0.006832,0.006832,0.006832
34,8103.37,0.99854,0.45304,1.06768,0.96701,0.96349,0.98416,0.7229,1.05107,0.34867,1.09717,0.006733,0.006733,0.006733
35,8344.3,0.99812,0.45223,1.06584,0.9668,0.96397,0.98415,0.72343,1.05108,0.34845,1.09745,0.006634,0.006634,0.006634
36,8580.53,0.99258,0.44969,1.06314,0.96087,0.96969,0.98397,0.72294,1.0512,0.34784,1.09757,0.006535,0.006535,0.006535
37,8813.19,0.99034,0.44599,1.0596,0.96506,0.96609,0.9842,0.72366,1.05073,0.34757,1.09735,0.006436,0.006436,0.006436
38,9047.84,0.98682,0.44492,1.05919,0.96139,0.96965,0.98392,0.72317,1.05029,0.34718,1.09727,0.006337,0.006337,0.006337
39,9287.43,0.98522,0.4456,1.05771,0.96635,0.96407,0.98363,0.72356,1.0501,0.34721,1.0973,0.006238,0.006238,0.006238
40,9528.13,0.98162,0.44061,1.05563,0.96356,0.96802,0.98393,0.72359,1.04991,0.34694,1.09725,0.006139,0.006139,0.006139
41,9763.19,0.97973,0.43957,1.05484,0.96421,0.96732,0.98364,0.72368,1.05013,0.34643,1.09758,0.00604,0.00604,0.00604
42,9995.32,0.97612,0.43915,1.0521,0.9642,0.96759,0.98367,0.72383,1.05017,0.34558,1.0976,0.005941,0.005941,0.005941
43,10228.5,0.97565,0.43575,1.05501,0.96717,0.96596,0.98367,0.72386,1.05051,0.34504,1.09803,0.005842,0.005842,0.005842
44,10471.9,0.97175,0.43538,1.05226,0.96642,0.96621,0.98337,0.7239,1.05054,0.34491,1.09812,0.005743,0.005743,0.005743
45,10709.5,0.96494,0.43497,1.048,0.96664,0.96595,0.98347,0.72419,1.05046,0.34517,1.09823,0.005644,0.005644,0.005644
46,10949.1,0.96509,0.43371,1.04779,0.96711,0.96653,0.98376,0.72414,1.05087,0.34528,1.09842,0.005545,0.005545,0.005545
47,11188.5,0.96103,0.43222,1.04613,0.96755,0.96626,0.98409,0.7248,1.05085,0.34474,1.09837,0.005446,0.005446,0.005446
48,11428.7,0.9567,0.42847,1.04258,0.96776,0.96643,0.98405,0.72454,1.05101,0.34457,1.09841,0.005347,0.005347,0.005347
49,11668.9,0.95775,0.42725,1.0433,0.9669,0.96722,0.98403,0.72454,1.05143,0.34373,1.09858,0.005248,0.005248,0.005248
50,11903.5,0.9536,0.42329,1.04431,0.96807,0.96689,0.98398,0.72568,1.0515,0.34334,1.09868,0.005149,0.005149,0.005149
51,12137.7,0.95086,0.42381,1.04099,0.96935,0.96592,0.98401,0.7262,1.0512,0.34272,1.09849,0.00505,0.00505,0.00505
52,12376.3,0.9462,0.41954,1.03713,0.96801,0.96663,0.98403,0.72633,1.05108,0.34253,1.09858,0.004951,0.004951,0.004951
53,12613.1,0.94233,0.41895,1.03626,0.96714,0.96764,0.98412,0.72696,1.05156,0.34258,1.09887,0.004852,0.004852,0.004852
54,12851,0.94115,0.41765,1.03478,0.96778,0.96631,0.98396,0.72602,1.05123,0.34229,1.09875,0.004753,0.004753,0.004753
55,13090.8,0.9348,0.41605,1.03376,0.96706,0.96643,0.98394,0.72621,1.05103,0.34193,1.09849,0.004654,0.004654,0.004654
56,13329.5,0.93062,0.41302,1.03223,0.9671,0.96622,0.98472,0.72691,1.05143,0.3415,1.09855,0.004555,0.004555,0.004555
57,13568.8,0.92999,0.41315,1.02842,0.966,0.96717,0.98441,0.72659,1.05129,0.34157,1.09825,0.004456,0.004456,0.004456
58,13809,0.92247,0.40866,1.02671,0.9641,0.96946,0.98426,0.72679,1.0514,0.34153,1.0984,0.004357,0.004357,0.004357
59,14050.1,0.92297,0.40646,1.02784,0.96414,0.96992,0.98451,0.72743,1.05229,0.34145,1.09898,0.004258,0.004258,0.004258
60,14288.7,0.91522,0.40436,1.02453,0.96476,0.97062,0.98458,0.72744,1.05205,0.34158,1.09898,0.004159,0.004159,0.004159
61,14523.8,0.91276,0.40345,1.02362,0.96504,0.97039,0.98461,0.72737,1.05232,0.34181,1.09923,0.00406,0.00406,0.00406
62,14762.7,0.9061,0.39999,1.02109,0.96456,0.97085,0.98452,0.72785,1.05273,0.34132,1.09973,0.003961,0.003961,0.003961
63,15002.8,0.90478,0.40002,1.01765,0.96434,0.9709,0.98459,0.72774,1.05267,0.34144,1.09976,0.003862,0.003862,0.003862
64,15241.3,0.90268,0.39939,1.01677,0.96473,0.97109,0.98468,0.7279,1.05276,0.34182,1.10003,0.003763,0.003763,0.003763
65,15480.4,0.89572,0.39408,1.01369,0.96437,0.97189,0.98438,0.7275,1.05314,0.34168,1.1002,0.003664,0.003664,0.003664
66,15718.3,0.89301,0.39267,1.01183,0.96503,0.97157,0.98429,0.72721,1.05383,0.34138,1.1006,0.003565,0.003565,0.003565
67,15950.3,0.88663,0.38967,1.01357,0.965,0.97132,0.98423,0.72753,1.05419,0.34116,1.10091,0.003466,0.003466,0.003466
68,16190.2,0.88014,0.38736,1.00972,0.96478,0.97066,0.98451,0.72772,1.05443,0.34114,1.10122,0.003367,0.003367,0.003367
69,16430.7,0.87874,0.38695,1.0072,0.96454,0.97062,0.9846,0.72791,1.05506,0.34125,1.10161,0.003268,0.003268,0.003268
70,16670.8,0.86898,0.38309,1.00512,0.96564,0.96991,0.98467,0.72805,1.05571,0.34094,1.10192,0.003169,0.003169,0.003169
71,16909,0.86926,0.38295,1.00463,0.96539,0.96913,0.98435,0.72858,1.05611,0.34074,1.10229,0.00307,0.00307,0.00307
72,17148.9,0.86662,0.3802,1.0002,0.96584,0.96911,0.98436,0.72883,1.05685,0.34061,1.10264,0.002971,0.002971,0.002971
73,17385.5,0.8585,0.37516,0.99951,0.96452,0.96977,0.98435,0.72863,1.05747,0.3408,1.10288,0.002872,0.002872,0.002872
74,17625.4,0.85191,0.37154,0.99612,0.96829,0.96573,0.98457,0.72832,1.05764,0.3407,1.10281,0.002773,0.002773,0.002773
75,17864.7,0.84833,0.36967,0.99679,0.9683,0.96503,0.98416,0.7284,1.05814,0.34036,1.10308,0.002674,0.002674,0.002674
76,18107.8,0.84076,0.36839,0.99232,0.9691,0.96514,0.98415,0.72813,1.05857,0.34063,1.10336,0.002575,0.002575,0.002575
77,18347,0.84038,0.36647,0.99252,0.96908,0.96619,0.98419,0.72804,1.05884,0.34082,1.10361,0.002476,0.002476,0.002476
78,18586.8,0.83305,0.36443,0.98775,0.96951,0.96549,0.98429,0.72792,1.05977,0.34099,1.10416,0.002377,0.002377,0.002377
79,18827.2,0.82584,0.35982,0.98668,0.97035,0.96409,0.98448,0.72787,1.06063,0.34145,1.10455,0.002278,0.002278,0.002278
80,19067.9,0.81846,0.35829,0.98151,0.97021,0.96428,0.98457,0.72785,1.06126,0.34114,1.10504,0.002179,0.002179,0.002179
81,19306.7,0.81673,0.35569,0.98304,0.97108,0.96386,0.9846,0.72819,1.06194,0.3409,1.10546,0.00208,0.00208,0.00208
82,19544.6,0.80799,0.35219,0.98077,0.97054,0.96339,0.98451,0.72811,1.06243,0.34156,1.10594,0.001981,0.001981,0.001981
83,19778.9,0.80525,0.35218,0.97985,0.97051,0.96363,0.98466,0.72766,1.06331,0.3419,1.10663,0.001882,0.001882,0.001882
84,20020.8,0.79753,0.34821,0.97571,0.97086,0.96386,0.98468,0.72764,1.06392,0.34193,1.10725,0.001783,0.001783,0.001783
85,20254.6,0.79197,0.34434,0.97184,0.9713,0.96339,0.98473,0.72831,1.06449,0.34185,1.10808,0.001684,0.001684,0.001684
86,20488.1,0.787,0.34283,0.97139,0.97108,0.96386,0.98472,0.72821,1.06565,0.34209,1.10934,0.001585,0.001585,0.001585
87,20725,0.77868,0.33885,0.96962,0.97178,0.96356,0.98477,0.72791,1.06677,0.34242,1.11057,0.001486,0.001486,0.001486
88,20963.4,0.77545,0.33685,0.96714,0.97215,0.96363,0.98476,0.72746,1.06784,0.34288,1.1117,0.001387,0.001387,0.001387
89,21202.9,0.76678,0.3355,0.9638,0.9732,0.96316,0.9848,0.72722,1.06851,0.34312,1.11276,0.001288,0.001288,0.001288
90,21443.9,0.76257,0.33207,0.96148,0.97325,0.96293,0.9847,0.72694,1.06941,0.34378,1.11387,0.001189,0.001189,0.001189
91,21683.2,0.73387,0.29762,0.94249,0.97449,0.9627,0.9848,0.72726,1.0701,0.34392,1.1147,0.00109,0.00109,0.00109
92,21925.2,0.71577,0.29136,0.92975,0.97383,0.96316,0.98496,0.72787,1.07059,0.34386,1.11543,0.000991,0.000991,0.000991
93,22167.7,0.70416,0.28714,0.92455,0.97314,0.96298,0.985,0.72775,1.07149,0.344,1.11647,0.000892,0.000892,0.000892
94,22405.2,0.69242,0.28305,0.92065,0.97339,0.96358,0.9851,0.72756,1.0724,0.34467,1.11778,0.000793,0.000793,0.000793
95,22643.2,0.68319,0.27903,0.91656,0.97383,0.96317,0.98513,0.72761,1.07336,0.34504,1.11937,0.000694,0.000694,0.000694
96,22876.5,0.67486,0.27623,0.91909,0.97486,0.96316,0.98523,0.72741,1.07481,0.34549,1.12127,0.000595,0.000595,0.000595
97,23117.4,0.665,0.27192,0.91353,0.97514,0.96339,0.98528,0.72737,1.07601,0.34585,1.12303,0.000496,0.000496,0.000496
98,23358.9,0.65451,0.26847,0.90662,0.97515,0.96339,0.98536,0.72726,1.07734,0.34609,1.12499,0.000397,0.000397,0.000397
99,23602.8,0.6463,0.266,0.90537,0.97253,0.96566,0.98546,0.72685,1.07862,0.34622,1.12715,0.000298,0.000298,0.000298
100,23844.6,0.64016,0.26244,0.8992,0.97259,0.96573,0.98549,0.72643,1.07995,0.34638,1.12939,0.000199,0.000199,0.000199
