epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.385,1.00294,0.44042,1.06914,0.97207,0.9585,0.98337,0.70941,1.06876,0.37355,1.10898,0.00333219,0.00333219,0.00333219
2,510.285,1.0136,0.45722,1.07491,0.9664,0.95267,0.9811,0.69715,1.09654,0.40453,1.12488,0.00659953,0.00659953,0.00659953
3,748.267,1.07391,0.5093,1.10045,0.96889,0.94384,0.97832,0.69021,1.10811,0.44078,1.13287,0.00980088,0.00980088,0.00980088
4,982.601,1.1188,0.55572,1.12823,0.96391,0.94591,0.97598,0.69872,1.0884,0.43028,1.12218,0.009703,0.009703,0.009703
5,1216.37,1.11003,0.55053,1.12456,0.96728,0.9442,0.97808,0.69698,1.09209,0.42956,1.11992,0.009604,0.009604,0.009604
6,1448.53,1.10111,0.54147,1.11887,0.96537,0.94246,0.9744,0.69674,1.09346,0.42113,1.11998,0.009505,0.009505,0.009505
7,1679.73,1.09806,0.53332,1.11459,0.96883,0.94777,0.9813,0.69943,1.0907,0.40606,1.11966,0.009406,0.009406,0.009406
8,1912.84,1.08803,0.52763,1.1116,0.96795,0.95523,0.97942,0.6995,1.08459,0.39973,1.12125,0.009307,0.009307,0.009307
9,2149.71,1.08641,0.522,1.10799,0.97002,0.95067,0.98184,0.71105,1.08032,0.39092,1.1152,0.009208,0.009208,0.009208
10,2390,1.07898,0.51736,1.1064,0.96183,0.95733,0.98069,0.7067,1.08147,0.39126,1.11963,0.009109,0.009109,0.009109
11,2628.78,1.07707,0.51387,1.10458,0.96822,0.95803,0.98273,0.71191,1.06975,0.37916,1.10977,0.00901,0.00901,0.00901
12,2864.5,1.0709,0.50679,1.09878,0.96591,0.9557,0.98343,0.71209,1.06712,0.37522,1.10598,0.008911,0.008911,0.008911
13,3102.8,1.06667,0.50309,1.09967,0.96897,0.9609,0.98316,0.71359,1.065,0.37029,1.1064,0.008812,0.008812,0.008812
14,3337.53,1.06584,0.50097,1.09672,0.96696,0.96205,0.98293,0.71602,1.05804,0.36665,1.10213,0.008713,0.008713,0.008713
15,3573.48,1.05985,0.49796,1.09529,0.96774,0.96456,0.98361,0.71545,1.06064,0.36586,1.10403,0.008614,0.008614,0.008614
16,3807.64,1.05221,0.49086,1.09119,0.96308,0.96573,0.98292,0.71448,1.06191,0.36253,1.10463,0.008515,0.008515,0.008515
17,4043.62,1.054,0.49335,1.09389,0.96402,0.96619,0.9832,0.71525,1.06141,0.36337,1.1051,0.008416,0.008416,0.008416
18,4283.92,1.04672,0.48488,1.08988,0.96477,0.96549,0.98257,0.71544,1.06372,0.36118,1.10662,0.008317,0.008317,0.008317
19,4525.82,1.04402,0.48375,1.08847,0.96464,0.96682,0.98373,0.71757,1.06089,0.35926,1.10473,0.008218,0.008218,0.008218
20,4766.06,1.03675,0.47971,1.08148,0.96461,0.96608,0.98391,0.71788,1.05856,0.35713,1.10276,0.008119,0.008119,0.008119
21,5007.12,1.03941,0.48181,1.0834,0.96524,0.96466,0.98373,0.71834,1.05752,0.35597,1.1022,0.00802,0.00802,0.00802
22,5243.11,1.03591,0.47708,1.08245,0.96318,0.96782,0.98396,0.71872,1.05774,0.35467,1.10208,0.007921,0.007921,0.007921
23,5480.48,1.03193,0.47591,1.08215,0.96166,0.96852,0.98389,0.71949,1.05721,0.35377,1.10135,0.007822,0.007822,0.007822
24,5716.9,1.02725,0.47345,1.07828,0.96329,0.96665,0.98382,0.72021,1.05743,0.35411,1.101,0.007723,0.007723,0.007723
25,5956.32,1.02394,0.46889,1.07994,0.96307,0.96678,0.98399,0.7209,1.05599,0.35251,1.09987,0.007624,0.007624,0.007624
26,6189.98,1.02331,0.46977,1.07613,0.971,0.96022,0.98404,0.72081,1.05495,0.35128,1.09879,0.007525,0.007525,0.007525
27,6431.05,1.01946,0.46779,1.07504,0.96809,0.96185,0.984,0.7213,1.05352,0.35091,1.09799,0.007426,0.007426,0.007426
28,6672.2,1.01872,0.46495,1.07419,0.96826,0.96246,0.984,0.72163,1.05291,0.34999,1.09735,0.007327,0.007327,0.007327
29,6905.19,1.01009,0.46053,1.06875,0.96982,0.96153,0.98384,0.72182,1.05242,0.34927,1.09682,0.007228,0.007228,0.007228
30,7143.29,1.00885,0.46018,1.07008,0.96611,0.96382,0.98374,0.72185,1.05184,0.34915,1.09654,0.007129,0.007129,0.007129
31,7383.39,1.01151,0.46133,1.07236,0.9668,0.96424,0.98397,0.72251,1.05166,0.34868,1.09652,0.00703,0.00703,0.00703
