epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,4084.29,1.07236,0.50748,1.10371,0.97192,0.95057,0.98364,0.71349,1.07057,0.3725,1.11209,0.00736,0.00736,0.00736
18,4323.64,1.06307,0.49976,1.09575,0.97164,0.95059,0.98331,0.71284,1.06997,0.37018,1.11231,0.007195,0.007195,0.007195
19,4559.66,1.05864,0.49681,1.09585,0.9752,0.94871,0.9828,0.71247,1.0695,0.36891,1.11149,0.00703,0.00703,0.00703
20,4798.94,1.04971,0.48912,1.08579,0.96676,0.95757,0.98257,0.71213,1.06977,0.36637,1.11156,0.006865,0.006865,0.006865
21,5039.61,1.04908,0.48645,1.0858,0.96504,0.95893,0.98246,0.71248,1.07079,0.36533,1.11187,0.0067,0.0067,0.0067
22,5277.24,1.04747,0.48472,1.08755,0.96665,0.95973,0.98295,0.71315,1.06871,0.3635,1.11098,0.006535,0.006535,0.006535
23,5514.47,1.04063,0.47797,1.08332,0.9692,0.95687,0.98314,0.71379,1.06787,0.36207,1.11021,0.00637,0.00637,0.00637
24,5756.47,1.03384,0.47377,1.07777,0.96693,0.95943,0.98322,0.71432,1.06726,0.36087,1.10964,0.006205,0.006205,0.006205
25,5998.04,1.03036,0.47114,1.07958,0.97136,0.95695,0.98326,0.71463,1.06655,0.36036,1.10932,0.00604,0.00604,0.00604
26,6231.83,1.02657,0.4695,1.07497,0.971,0.95663,0.98297,0.71509,1.06561,0.3596,1.10892,0.005875,0.005875,0.005875
27,6467.44,1.0213,0.46333,1.07556,0.97209,0.9564,0.98319,0.71524,1.06463,0.35858,1.10825,0.00571,0.00571,0.00571
28,6708.34,1.01826,0.46211,1.07309,0.97181,0.95654,0.98345,0.71514,1.06428,0.3575,1.10816,0.005545,0.005545,0.005545
29,6949.98,1.00691,0.45475,1.06934,0.97092,0.95766,0.98357,0.71575,1.06356,0.35665,1.10749,0.00538,0.00538,0.00538
30,7190.37,1.00389,0.45342,1.06761,0.96495,0.96573,0.98376,0.71631,1.06291,0.35579,1.10696,0.005215,0.005215,0.005215
31,7433.16,1.00613,0.45244,1.06762,0.96548,0.9651,0.98329,0.71671,1.0622,0.35447,1.1065,0.00505,0.00505,0.00505
32,7670.59,0.99851,0.44909,1.06302,0.96662,0.96538,0.98355,0.7177,1.06139,0.35353,1.10569,0.004885,0.004885,0.004885
33,7904.8,0.99315,0.44723,1.06091,0.96617,0.96564,0.98355,0.71764,1.06132,0.35298,1.10561,0.00472,0.00472,0.00472
34,8145.81,0.98632,0.43997,1.0578,0.96618,0.9658,0.98374,0.71825,1.06068,0.35201,1.10516,0.004555,0.004555,0.004555
35,8385.38,0.98304,0.43894,1.05619,0.96738,0.96549,0.98426,0.71884,1.06001,0.35106,1.10475,0.00439,0.00439,0.00439
36,8623.86,0.97466,0.43287,1.05198,0.96662,0.96558,0.98429,0.71909,1.05938,0.34992,1.10429,0.004225,0.004225,0.004225
37,8861.7,0.97358,0.42966,1.05037,0.96763,0.96549,0.98452,0.71932,1.0588,0.34945,1.10399,0.00406,0.00406,0.00406
38,9095.5,0.96622,0.42379,1.04642,0.96817,0.96573,0.98429,0.71926,1.05863,0.34864,1.10379,0.003895,0.003895,0.003895
39,9336.62,0.9613,0.42438,1.04275,0.96619,0.96626,0.98432,0.71954,1.05836,0.34815,1.10352,0.00373,0.00373,0.00373
40,9574.51,0.95664,0.42067,1.04248,0.96666,0.96675,0.98478,0.72052,1.05817,0.34741,1.10347,0.003565,0.003565,0.003565
41,9818.39,0.94874,0.41694,1.04178,0.96624,0.96747,0.98503,0.72155,1.05748,0.34634,1.10312,0.0034,0.0034,0.0034
42,10059.2,0.94612,0.41235,1.03479,0.96558,0.96789,0.98482,0.72144,1.05686,0.34554,1.10283,0.003235,0.003235,0.003235
43,10299.9,0.94055,0.40937,1.03238,0.96513,0.96798,0.98481,0.72205,1.05658,0.34525,1.10244,0.00307,0.00307,0.00307
44,10539.8,0.93333,0.40493,1.03195,0.96603,0.968,0.98503,0.72291,1.05602,0.34488,1.10183,0.002905,0.002905,0.002905
45,10775.5,0.92545,0.40148,1.02867,0.96643,0.96806,0.9851,0.72392,1.05499,0.34447,1.10114,0.00274,0.00274,0.00274
46,11017.8,0.91996,0.39841,1.02471,0.96647,0.96782,0.98522,0.72476,1.05458,0.34393,1.10064,0.002575,0.002575,0.002575
47,11257.1,0.91443,0.39544,1.02096,0.96656,0.96806,0.98522,0.72499,1.05363,0.3437,1.09992,0.00241,0.00241,0.00241
48,11491.4,0.90697,0.391,1.02077,0.96849,0.9674,0.98536,0.7252,1.05315,0.34325,1.09949,0.002245,0.002245,0.002245
49,11735.3,0.90364,0.39063,1.0199,0.96781,0.96739,0.9852,0.72565,1.05306,0.34312,1.09943,0.00208,0.00208,0.00208
50,11977.6,0.894,0.38378,1.015,0.96849,0.96759,0.98516,0.72617,1.05272,0.34277,1.09899,0.001915,0.001915,0.001915
51,12218.3,0.88293,0.34696,1.01339,0.9684,0.96806,0.98528,0.72657,1.05178,0.34205,1.09853,0.00175,0.00175,0.00175
52,12459.6,0.86782,0.34113,1.00372,0.96796,0.96782,0.98514,0.72647,1.05164,0.34208,1.09826,0.001585,0.001585,0.001585
53,12700.9,0.85375,0.33528,0.99097,0.96781,0.96739,0.98501,0.7273,1.05138,0.34144,1.09799,0.00142,0.00142,0.00142
54,12939.3,0.84147,0.33079,0.9923,0.96733,0.96642,0.9848,0.72847,1.05092,0.34036,1.09765,0.001255,0.001255,0.001255
55,13177.9,0.82955,0.32467,0.98132,0.96847,0.96689,0.98495,0.72866,1.05072,0.34025,1.09744,0.00109,0.00109,0.00109
56,13420,0.81703,0.31811,0.98483,0.96894,0.96743,0.98491,0.72958,1.0505,0.33964,1.09753,0.000925,0.000925,0.000925
57,13659.6,0.80689,0.31322,0.97212,0.96936,0.96759,0.98511,0.72993,1.0504,0.33946,1.09754,0.00076,0.00076,0.00076
58,13895.5,0.79525,0.30853,0.96692,0.96907,0.96736,0.9853,0.72961,1.05075,0.33917,1.09778,0.000595,0.000595,0.000595
59,14130.6,0.78482,0.30463,0.96261,0.96874,0.96807,0.98523,0.72984,1.05117,0.3388,1.09847,0.00043,0.00043,0.00043
60,14369.1,0.77473,0.29911,0.95284,0.96898,0.96806,0.98527,0.73017,1.05175,0.33855,1.09894,0.000265,0.000265,0.000265
