epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.294,1.24861,0.8964,1.17013,0.96609,0.92679,0.96806,0.62186,1.26958,0.55497,1.16518,0.00333219,0.00333219,0.00333219
2,503.611,1.23569,0.67797,1.15574,0.95477,0.92166,0.96196,0.6399,1.22341,0.58574,1.16567,0.00655554,0.00655554,0.00655554
3,744.121,1.28005,0.73359,1.19773,0.9588,0.90534,0.95585,0.62743,1.22907,0.58681,1.20782,0.00966889,0.00966889,0.00966889
4,980.285,1.2732,0.72853,1.21061,0.95352,0.92311,0.96161,0.65441,1.15765,0.52672,1.16604,0.009505,0.009505,0.009505
5,1217.98,1.22117,0.66339,1.18374,0.95964,0.93694,0.97117,0.67347,1.14047,0.47998,1.15306,0.00934,0.00934,0.00934
6,1457.36,1.18889,0.62265,1.16666,0.96189,0.93915,0.97331,0.68343,1.11849,0.45537,1.1379,0.009175,0.009175,0.009175
7,1695.46,1.1669,0.60013,1.15089,0.95578,0.94746,0.97278,0.68826,1.11453,0.44127,1.1322,0.00901,0.00901,0.00901
8,1935.23,1.14846,0.58398,1.14318,0.95471,0.95352,0.97677,0.6932,1.09132,0.42135,1.12593,0.008845,0.008845,0.008845
9,2175.55,1.1353,0.56774,1.13468,0.9619,0.94474,0.97785,0.69513,1.10163,0.4166,1.13021,0.00868,0.00868,0.00868
10,2415.71,1.12241,0.55702,1.12661,0.96542,0.94987,0.98008,0.70431,1.08676,0.40533,1.12077,0.008515,0.008515,0.008515
11,2652.85,1.11495,0.54731,1.12455,0.97313,0.94555,0.98048,0.70308,1.08566,0.3989,1.11884,0.00835,0.00835,0.00835
12,2889.32,1.10396,0.53398,1.11906,0.96118,0.95407,0.98137,0.70714,1.08054,0.39027,1.11562,0.008185,0.008185,0.008185
13,3125.84,1.09747,0.52966,1.11521,0.97434,0.94719,0.98203,0.71024,1.07821,0.38472,1.11476,0.00802,0.00802,0.00802
14,3364.77,1.09238,0.52272,1.11001,0.97019,0.94845,0.98144,0.71033,1.07494,0.3829,1.11363,0.007855,0.007855,0.007855
15,3605.04,1.08413,0.51791,1.10808,0.97052,0.95178,0.98186,0.71023,1.06936,0.37709,1.11158,0.00769,0.00769,0.00769
16,3846.62,1.07413,0.51002,1.10262,0.96725,0.95723,0.98338,0.71274,1.07117,0.37422,1.11138,0.007525,0.007525,0.007525
